feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
lower_wick,1,6,12675,0.24789915966386555,0.3076923076923077,-0.05048060501829555,0.28623769178004466,0.5034319526627219,-0.1040356274507725,-0.00010636929696417052
lower_wick,1,7,12675,0.3076923076923077,0.3770491803278688,-0.009093281613645253,0.2752318828602718,0.5042209072978304,-0.0626483040461222,0.0006825853381443592
lower_wick,1,8,12676,0.3770491803278688,0.4666666666666667,0.2441905944521311,0.47442831388133655,0.5140422846323761,0.19063557201965414,0.010503962672690048
lower_wick,1,9,12675,0.4666666666666667,0.5909090909090909,-0.01733252807513178,0.3231226573596757,0.504457593688363,-0.07088755050760873,0.0009192717286768959
lower_wick,1,10,12676,0.5909090909090909,1.0,-0.16004982232261689,0.11883033796844522,0.5001577784790154,-0.21360484475509384,-0.003380543480670628
body,2,1,12160,-0.016358537598670543,-0.0011512211166844833,-0.04627906022152115,0.6215465080716687,0.5116776315789474,-0.1430159883999347,-0.0004523026315789158
body,2,2,12160,-0.0011511851451068875,-0.0006142796389925814,-0.15415110028724996,0.6245621430778225,0.514391447368421,-0.2508880284656635,0.00226151315789469
body,2,3,12160,-0.0006142677649029736,-0.00032499187520311994,0.25157056632856784,0.9543426944558231,0.5296875,0.15483363815015427,0.01755756578947365
body,2,4,12160,-0.00032499187520311994,-0.0001357615251837629,0.2668705624862705,0.7345207313635971,0.5259046052631579,0.17013363430785694,0.013774671052631526
body,2,5,12160,-0.00013574507075711812,1.2842905578958184e-05,0.1468838599424222,0.4692118682214641,0.5121710526315789,0.05014693176400864,4.111842105258834e-05
body,2,6,12160,1.2867859946212345e-05,0.00018436578171091445,0.10422252455133667,0.325290545235557,0.5038651315789474,0.007485596372923106,-0.008264802631578916
body,2,7,12160,0.00018436578171091445,0.0003682871300388376,0.1606326957090633,0.3392938547863711,0.506578947368421,0.06389576753064974,-0.00555098684210531
body,2,8,12160,0.00036832914984175487,0.0006303580433686334,-0.022969433763009587,0.2507242775606766,0.5016447368421053,-0.11970636194142315,-0.010485197368421018
body,2,9,12160,0.0006304176516942475,0.001121746933891714,0.11469786539479668,0.0,0.4990953947368421,0.017960937216383116,-0.013034539473684215
body,2,10,12160,0.0011218705715635333,0.02270699290846757,0.1458908016434591,0.785846498519982,0.5162828947368421,0.049153873465045544,0.004152960526315752
range,2,1,12160,0.0,0.000503053011379406,0.09984366975719576,0.375586930755345,0.5087171052631579,0.003106741578782199,-0.003412828947368385
range,2,2,12160,0.0005030570389288754,0.000649438914983915,0.0731388496368749,0.29788520908069493,0.5047697368421052,-0.023598078541538656,-0.007360197368421084
range,2,3,12160,0.0006494410168390778,0.0008051529790660225,0.2249278650362616,0.47195461199134314,0.5145559210526316,0.12819093685784805,0.0024259868421052655
range,2,4,12160,0.0008051529790660225,0.0009673731422038519,0.1076056627806078,0.49652432969171656,0.5124177631578948,0.010868734602194244,0.00028782894736845144
range,2,5,12160,0.0009673731422038519,0.0011601426545782667,0.07458502742438872,0.4862572663943965,0.5123355263157895,-0.022151900754024845,0.00020559210526316374
