feature,decile,n,feat_lo,feat_hi,p_up,lift
body_frac,10,12544,0.8,1.0,0.5099649234693877,-0.003069196428571508
close_loc,1,12544,0.0,0.10106382978723404,0.5031887755102041,-0.009845344387755084
close_loc,2,12544,0.10112359550561797,0.2,0.5078125,-0.005221619897959218
close_loc,3,12544,0.2,0.30120481927710846,0.5095663265306123,-0.0034677933673469274
close_loc,4,12544,0.30120481927710846,0.4117647058823529,0.5149075255102041,0.001873405612244916
close_loc,5,12544,0.4117647058823529,0.5253164556962026,0.5145886479591837,0.0015545280612244694
close_loc,6,12544,0.5253164556962026,0.6363636363636364,0.5127551020408163,-0.0002790178571429047
close_loc,7,12544,0.6363636363636364,0.7380952380952381,0.5199298469387755,0.006895727040816313
close_loc,8,12544,0.7380952380952381,0.8313953488372093,0.5153061224489796,0.0022720025510203357
close_loc,9,12544,0.8313953488372093,0.9135135135135135,0.5196109693877551,0.006576849489795866
close_loc,10,12544,0.9135802469135802,1.0,0.5126753826530612,-0.00035873724489798864
upper_wick,1,12544,0.0,0.03508771929824561,0.5034279336734694,-0.009606186224489832
upper_wick,2,12544,0.03508771929824561,0.08080808080808081,0.5042251275510204,-0.008808992346938771
upper_wick,3,12544,0.08080808080808081,0.125,0.5066167091836735,-0.006417410714285698
upper_wick,4,12544,0.125,0.17391304347826086,0.5154655612244898,0.0024314413265306145
upper_wick,5,12544,0.17391304347826086,0.22727272727272727,0.513313137755102,0.0002790178571427937
upper_wick,6,12544,0.22727272727272727,0.2857142857142857,0.5163424744897959,0.0033083545918366486
upper_wick,7,12544,0.2857142857142857,0.35714285714285715,0.5201690051020408,0.007134885204081565
upper_wick,8,12544,0.35714285714285715,0.4444444444444444,0.5123565051020408,-0.0006776147959184353
upper_wick,9,12544,0.4444444444444444,0.5714285714285714,0.5200892857142857,0.007055165816326481
upper_wick,10,12544,0.5714285714285714,1.0,0.5183354591836735,0.005301339285714302
lower_wick,1,12544,0.0,0.037037037037037035,0.5160235969387755,0.002989477040816313
lower_wick,2,12544,0.037037037037037035,0.08695652173913043,0.5173788265306123,0.0043447066326530726
